"Lon" "Lat" "ATbiome"
53.5 62.5 3
106.5 -2.5 1
23.5 5.5 1
-107.5 58.5 3
28.5 -14.5 4
15.5 59.5 2
109.5 35.5 4
-45.5 -1.5 1
-14.5 11.5 6
8.5 63.5 3
104.5 16.5 1
71.5 29.5 6
-68.5 3.5 1
-95.5 44.5 4
-69.5 -13.5 1
-98.5 34.5 4
-120.5 46.5 4
-105.5 41.5 3
-63.5 -16.5 1
140.5 -21.5 6
-4.5 15.5 6
28.5 5.5 1
-41.5 -10.5 6
76.5 16.5 4
18.5 -6.5 1
16.5 -20.5 5
-63.5 -4.5 1
-122.5 55.5 3
113.5 41.5 6
149.5 -22.5 6
86.5 21.5 1
-57.5 -18.5 1
26.5 58.5 2
-157.5 60.5 3
127.5 -18.5 6
39.5 57.5 3
57.5 38.5 5
2.5 47.5 2
-7.5 6.5 1
-91.5 37.5 2
-89.5 18.5 1
-68.5 -38.5 6
-91.5 53.5 3
48.5 60.5 3
37.5 52.5 2
49.5 -14.5 1
10.5 0.5 1
63.5 55.5 3
32.5 -20.5 4
-97.5 28.5 4
71.5 47.5 3
48.5 40.5 4
-39.5 -7.5 4
111.5 49.5 3
34.5 40.5 4
-155.5 58.5 3
55.5 54.5 3
79.5 19.5 4
24.5 -8.5 1
-46.5 -3.5 1
117.5 -21.5 6
-75.5 1.5 1
-105.5 34.5 6
47.5 59.5 3
83.5 27.5 4
18.5 8.5 4
24.5 -17.5 6
117.5 35.5 5
111.5 33.5 2
26.5 55.5 2
-90.5 50.5 3
-86.5 38.5 2
113.5 37.5 4
-124.5 61.5 3
64.5 50.5 3
42.5 63.5 3
-45.5 -14.5 4
-80.5 40.5 2
-58.5 -3.5 1
-68.5 -10.5 1
-58.5 -5.5 1
105.5 20.5 1
-123.5 58.5 3
-6.5 31.5 6
24.5 12.5 4
-38.5 -11.5 4
-74.5 -47.5 3
-60.5 -6.5 1
31.5 -0.5 1
58.5 61.5 3
43.5 4.5 6
47.5 38.5 3
13.5 12.5 6
63.5 62.5 3
71.5 46.5 5
-2.5 41.5 4
-73.5 -0.5 1
116.5 -3.5 1
46.5 -23.5 4
38.5 60.5 3
120.5 41.5 4
71.5 43.5 4
81.5 51.5 3
76.5 48.5 3
-2.5 32.5 6
98.5 17.5 1
-72.5 47.5 3
22.5 -29.5 6
37.5 6.5 1
75.5 57.5 3
7.5 35.5 6
-70.5 43.5 2
88.5 50.5 6
-72.5 -14.5 6
49.5 30.5 6
-58.5 -11.5 1
47.5 43.5 4
67.5 25.5 6
31.5 10.5 4
27.5 4.5 1
131.5 -21.5 5
48.5 61.5 3
38.5 4.5 4
93.5 44.5 6
-158.5 56.5 3
18.5 49.5 2
-67.5 -15.5 1
12.5 -1.5 1
-4.5 9.5 1
79.5 26.5 4
145.5 -25.5 6
-66.5 -1.5 1
126.5 53.5 3
135.5 52.5 3
81.5 24.5 4
-127.5 50.5 2
91.5 55.5 3
75.5 47.5 3
